"","size","Species","DriestQPRCP","WettestMonthPRCP","DriestMonthPRCP","TotalPRCP","HottestMonthTMAX","HottestMonthTAVG","CoolestMonthTAVG","CoolestMonthTMIN","TotalAnnualTemperature","PRCP_Seasonality","HEAT_Seasonality","COOL_Seasonality","Ca","Ci"
"1",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,168.151670383184
"2",27,"Afzelia_xylocarpa",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,167.658072400382
"3",8,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,194.193531003209
"4",27,"Afzelia_xylocarpa",33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.0225102319236016,0.0954356846473029,0.0693538826318909,319.4,167.973835288969
"5",27,"Afzelia_xylocarpa",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,217.840443543198
"6",8,"Afzelia_xylocarpa",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,207.190058377624
"7",27,"Afzelia_xylocarpa",18,263,0,842,39.4,32.3,23.9,16.9,340,0.0213776722090261,0.095,0.0702941176470588,352.8,200.110379231438
"8",8,"Afzelia_xylocarpa",38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.0359848484848485,0.0957193816884661,0.0719381688466112,317.5,201.885758241443
"9",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,176.914794628175
"10",8,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,201.461257710807
"11",8,"Afzelia_xylocarpa",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,207.257199024296
"12",27,"Afzelia_xylocarpa",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,181.403282147222
"13",8,"Afzelia_xylocarpa",87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.0643491124260355,0.0915472360339281,0.0684410646387833,312.8,210.144682082878
"14",27,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,199.901674838103
"15",8,"Afzelia_xylocarpa",88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.0670731707317073,0.090547568063628,0.0700520036708474,314.1,203.979255343299
"16",27,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,167.386949979196
"17",8,"Afzelia_xylocarpa",88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.0670731707317073,0.090547568063628,0.0700520036708474,314.1,174.714819068895
"18",27,"Afzelia_xylocarpa",89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.0987791342952275,0.0941901408450704,0.0689553990610329,315.7,176.301119290771
"19",27,"Afzelia_xylocarpa",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,183.563247314658
"20",27,"Afzelia_xylocarpa",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,186.04325586188
"21",8,"Afzelia_xylocarpa",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,221.575076587911
"22",27,"Afzelia_xylocarpa",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,204.154461747008
"23",8,"Afzelia_xylocarpa",17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.0154405086285195,0.0943450663589152,0.0706866705135603,327.3,220.166708033009
"24",27,"Afzelia_xylocarpa",64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.0718294051627385,0.0918665886483323,0.0713867758923347,357,164.646099048947
"25",8,"Afzelia_xylocarpa",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,170.16388710439
"26",8,"Afzelia_xylocarpa",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,203.618548181945
"27",27,"Afzelia_xylocarpa",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,210.750628235157
"28",8,"Afzelia_xylocarpa",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,195.782955817006
"29",8,"Afzelia_xylocarpa",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,190.833416681356
"30",27,"Afzelia_xylocarpa",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,200.039735464517
"31",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,175.239703107585
"32",27,"Afzelia_xylocarpa",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,170.328800881405
"33",27,"Afzelia_xylocarpa",74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.0706781279847182,0.0927595231171852,0.0724047688281477,354,162.819668051166
"34",8,"Afzelia_xylocarpa",154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469135802,0.0952802359882006,0.0722713864306785,315.1,196.574400078641
"35",8,"Afzelia_xylocarpa",33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.0225102319236016,0.0954356846473029,0.0693538826318909,319.4,212.595699080861
"36",27,"Afzelia_xylocarpa",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,167.931016103612
"37",27,"Afzelia_xylocarpa",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,174.307451666172
"38",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,173.643143698806
"39",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,217.759730628132
"40",27,"Afzelia_xylocarpa",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,199.02370738022
"41",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,208.831090128514
"42",27,"Afzelia_xylocarpa",17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.0154405086285195,0.0943450663589152,0.0706866705135603,327.3,182.242344858495
"43",8,"Afzelia_xylocarpa",89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.0987791342952275,0.0941901408450704,0.0689553990610329,315.7,185.807960178324
"44",8,"Afzelia_xylocarpa",154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469135802,0.0952802359882006,0.0722713864306785,315.1,203.248332160376
"45",27,"Afzelia_xylocarpa",76,338,0,1123,38.6,31.5,22,16.2,340.1,0.0676758682101514,0.0926198177006763,0.0646868568068215,348.8,194.725422307134
"46",8,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,207.981024309477
"47",8,"Afzelia_xylocarpa",40,240,0,1349,37.1,30.5,23,14.5,326.7,0.0296515937731653,0.0933578206305479,0.0704009794918886,314.6,193.393871383373
"48",27,"Afzelia_xylocarpa",64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.0718294051627385,0.0918665886483323,0.0713867758923347,357,212.104904167963
"49",27,"Afzelia_xylocarpa",68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.0561519405450041,0.0942114589486119,0.0732427643236858,335.3,190.919276391694
"50",8,"Afzelia_xylocarpa",3,297,0,1236,39.9,33.4,21.7,13.9,340,0.00242718446601942,0.0982352941176471,0.0638235294117647,318.8,198.174361545037
"51",27,"Afzelia_xylocarpa",89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.0800359712230216,0.0936018957345972,0.0722748815165877,375.774166666667,211.036650866896
"52",27,"Afzelia_xylocarpa",64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.0718294051627385,0.0918665886483323,0.0713867758923347,357,178.062235826555
"53",8,"Afzelia_xylocarpa",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,228.805994932412
"54",27,"Afzelia_xylocarpa",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,187.226239089555
"55",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,206.244385117647
"56",27,"Afzelia_xylocarpa",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,192.022444259521
"57",8,"Afzelia_xylocarpa",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,197.062270830355
"58",8,"Afzelia_xylocarpa",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,219.558708761554
"59",8,"Afzelia_xylocarpa",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,212.363598827815
"60",8,"Afzelia_xylocarpa",74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.0706781279847182,0.0927595231171852,0.0724047688281477,354,218.942476441062
"61",8,"Afzelia_xylocarpa",154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469135802,0.0952802359882006,0.0722713864306785,315.1,210.080942461902
"62",27,"Afzelia_xylocarpa",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,174.929713018974
"63",8,"Afzelia_xylocarpa",38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.0359848484848485,0.0957193816884661,0.0719381688466112,317.5,191.33852634625
"64",8,"Afzelia_xylocarpa",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,223.232001074329
"65",27,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,185.499287106302
"66",27,"Afzelia_xylocarpa",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,183.206600732864
"67",8,"Afzelia_xylocarpa",88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.0670731707317073,0.090547568063628,0.0700520036708474,314.1,175.540036896864
"68",27,"Afzelia_xylocarpa",3,297,0,1236,39.9,33.4,21.7,13.9,340,0.00242718446601942,0.0982352941176471,0.0638235294117647,318.8,179.920443403712
"69",27,"Afzelia_xylocarpa",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,178.408198007272
"70",8,"Afzelia_xylocarpa",38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.0359848484848485,0.0957193816884661,0.0719381688466112,317.5,172.945549348652
"71",27,"Afzelia_xylocarpa",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,182.672244244728
"72",8,"Afzelia_xylocarpa",171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417112299,0.0919171286839802,0.0720747009045813,315.8,181.177092756187
"73",8,"Afzelia_xylocarpa",38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.0359848484848485,0.0957193816884661,0.0719381688466112,317.5,195.731781975697
"74",27,"Afzelia_xylocarpa",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,174.886855727811
"75",8,"Afzelia_xylocarpa",91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.0641748942172073,0.093124456048738,0.076008123005512,321.2,192.782195529827
"76",27,"Afzelia_xylocarpa",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,212.443026042813
"77",8,"Afzelia_xylocarpa",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,202.930545426893
"78",8,"Chukrasia_tabularis",19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.0166520595968449,0.092511013215859,0.0690161527165932,312,212.037136610947
"79",8,"Chukrasia_tabularis",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,187.921070827947
"80",8,"Chukrasia_tabularis",76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.0856820744081172,0.08984145625367,0.0719318849089841,322.9,221.327081075295
"81",8,"Chukrasia_tabularis",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,224.309455829631
"82",8,"Chukrasia_tabularis",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,234.927378446088
"83",8,"Chukrasia_tabularis",134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.12082957619477,0.0928108426635239,0.0692398350029464,319.9,202.43322484032
"84",27,"Chukrasia_tabularis",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,198.398753636124
"85",8,"Chukrasia_tabularis",46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767955801105,0.094289897510981,0.0726207906295754,312.4,214.454103864158
"86",27,"Chukrasia_tabularis",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,207.518096677815
"87",27,"Chukrasia_tabularis",74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.0706781279847182,0.0927595231171852,0.0724047688281477,354,203.549338922094
"88",27,"Chukrasia_tabularis",40,240,0,1349,37.1,30.5,23,14.5,326.7,0.0296515937731653,0.0933578206305479,0.0704009794918886,314.6,189.78953325785
"89",27,"Chukrasia_tabularis",33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.0225102319236016,0.0954356846473029,0.0693538826318909,319.4,200.479828392151
"90",27,"Chukrasia_tabularis",41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.0353753235547886,0.0902388675906812,0.0719551754644648,311.3,184.020725681747
"91",8,"Chukrasia_tabularis",89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.0987791342952275,0.0941901408450704,0.0689553990610329,315.7,217.483985289307
"92",27,"Chukrasia_tabularis",89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.0800359712230216,0.0936018957345972,0.0722748815165877,375.774166666667,217.599724892572
"93",8,"Chukrasia_tabularis",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,208.525202776193
"94",27,"Chukrasia_tabularis",76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.0856820744081172,0.08984145625367,0.0719318849089841,322.9,193.620843058449
"95",8,"Chukrasia_tabularis",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,220.133075369246
"96",27,"Chukrasia_tabularis",169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700690713738,0.0913187143286272,0.0717933313307299,362.5875,220.816675533385
"97",8,"Chukrasia_tabularis",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,189.416582649542
"98",27,"Chukrasia_tabularis",41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.0353753235547886,0.0902388675906812,0.0719551754644648,311.3,195.168001785266
"99",27,"Chukrasia_tabularis",76,338,0,1123,38.6,31.5,22,16.2,340.1,0.0676758682101514,0.0926198177006763,0.0646868568068215,348.8,211.366359033699
"100",8,"Chukrasia_tabularis",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,214.993286816802
"101",8,"Chukrasia_tabularis",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,218.03797736373
"102",8,"Chukrasia_tabularis",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,231.140652166891
"103",8,"Chukrasia_tabularis",76,338,0,1123,38.6,31.5,22,16.2,340.1,0.0676758682101514,0.0926198177006763,0.0646868568068215,348.8,232.419425799646
"104",27,"Chukrasia_tabularis",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,192.347193612743
"105",27,"Chukrasia_tabularis",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,196.043909504336
"106",8,"Chukrasia_tabularis",40,240,0,1349,37.1,30.5,23,14.5,326.7,0.0296515937731653,0.0933578206305479,0.0704009794918886,314.6,219.869467390265
"107",8,"Chukrasia_tabularis",76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.0856820744081172,0.08984145625367,0.0719318849089841,322.9,209.506493619602
"108",8,"Chukrasia_tabularis",167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882831570382,0.0963072378138848,0.0679468242245199,331,223.466403413274
"109",27,"Chukrasia_tabularis",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,212.52397559823
"110",8,"Chukrasia_tabularis",171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417112299,0.0919171286839802,0.0720747009045813,315.8,220.163369461239
"111",8,"Chukrasia_tabularis",178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859437751,0.0937313432835821,0.0734328358208955,326.2,225.084336940177
"112",27,"Chukrasia_tabularis",36,305,0,1222,39.8,33,25.2,17.4,341.6,0.0294599018003273,0.0966042154566745,0.0737704918032787,338.5,203.645690308186
"113",8,"Chukrasia_tabularis",171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417112299,0.0919171286839802,0.0720747009045813,315.8,195.098872478142
"114",8,"Chukrasia_tabularis",41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.0353753235547886,0.0902388675906812,0.0719551754644648,311.3,198.228018105398
"115",27,"Chukrasia_tabularis",109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829493088,0.0975609756097561,0.068815331010453,329.5,195.648895595796
"116",8,"Chukrasia_tabularis",46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767955801105,0.094289897510981,0.0726207906295754,312.4,197.372807624602
"117",8,"Chukrasia_tabularis",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,226.154699659735
"118",27,"Chukrasia_tabularis",3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.00443131462333826,0.0917005223447475,0.0719674985490424,336.7,201.674926151814
"119",27,"Chukrasia_tabularis",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,215.163570973009
"120",8,"Chukrasia_tabularis",1,179,0,886,39.3,33,24.2,17.4,344.6,0.00112866817155756,0.0957632037144515,0.0702263493905978,316.8,215.261342824779
"121",27,"Chukrasia_tabularis",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,193.825098619911
"122",8,"Chukrasia_tabularis",46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767955801105,0.094289897510981,0.0726207906295754,312.4,186.89365953646
"123",8,"Chukrasia_tabularis",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,229.070485093142
"124",8,"Chukrasia_tabularis",19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.0166520595968449,0.092511013215859,0.0690161527165932,312,195.737758651327
"125",8,"Chukrasia_tabularis",76,338,0,1123,38.6,31.5,22,16.2,340.1,0.0676758682101514,0.0926198177006763,0.0646868568068215,348.8,236.436605095929
"126",27,"Chukrasia_tabularis",134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.12082957619477,0.0928108426635239,0.0692398350029464,319.9,183.966196663274
"127",27,"Chukrasia_tabularis",6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.00556586270871985,0.0918003565062388,0.0692216280451575,322,187.950737122968
"128",8,"Chukrasia_tabularis",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,226.724474148756
"129",27,"Chukrasia_tabularis",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,204.340417048037
"130",27,"Chukrasia_tabularis",19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.0166520595968449,0.092511013215859,0.0690161527165932,312,189.872800378571
"131",27,"Chukrasia_tabularis",26,233,0,887,38.3,31.3,24.1,17.7,335,0.0293122886133033,0.0934328358208955,0.0719402985074627,344.3,213.417197596671
"132",8,"Chukrasia_tabularis",46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767955801105,0.094289897510981,0.0726207906295754,312.4,213.54121569811
"133",8,"Chukrasia_tabularis",40,240,0,1349,37.1,30.5,23,14.5,326.7,0.0296515937731653,0.0933578206305479,0.0704009794918886,314.6,210.665432604709
"134",27,"Chukrasia_tabularis",49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.0406976744186047,0.0970988750740083,0.0692717584369449,342.6,208.551178596799
"135",8,"Chukrasia_tabularis",41,250,0,1159,37.2,30.6,24.4,16.6,339.1,0.0353753235547886,0.0902388675906812,0.0719551754644648,311.3,204.181759842745
"136",8,"Chukrasia_tabularis",89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.0987791342952275,0.0941901408450704,0.0689553990610329,315.7,205.862675289162
"137",8,"Chukrasia_tabularis",87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.0643491124260355,0.0915472360339281,0.0684410646387833,312.8,205.073972425703
"138",8,"Chukrasia_tabularis",2,275,0,898,38.3,31,23.6,16.9,335,0.0022271714922049,0.0925373134328358,0.0704477611940299,347,213.765305035413
"139",27,"Chukrasia_tabularis",13,270,0,1116,37,31.3,25.1,17.2,338.6,0.0116487455197133,0.0924394565859421,0.0741287655050207,330.1,209.317470392676
"140",8,"Chukrasia_tabularis",89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.0800359712230216,0.0936018957345972,0.0722748815165877,375.774166666667,244.894089226371
"141",8,"Chukrasia_tabularis",27,270,0,1198,38.8,31.6,24,18.3,336.4,0.0225375626043406,0.093935790725327,0.0713436385255648,345.7,241.859827554708
"142",8,"Chukrasia_tabularis",19,128,0,609,39,31.9,25.3,19.7,346.2,0.0311986863711002,0.0921432697862507,0.0730791450028885,355.5,245.454046308692
"143",8,"Chukrasia_tabularis",74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.0706781279847182,0.0927595231171852,0.0724047688281477,354,223.200726842295
